Q,A,label
두통이 너무 심해서 자다가 깼어요,뇌와 관련된 심각한 병일 수 있어요.,1
"최근에 약물 복용 또는 카페인/알코올 과용했는데, 머리가 아파요 ","알코올 중독, 카페인 금단 두통, 만성 약물중독에 의한 통증입니다. ",1
머리가 두근거리면서 아파요,단순 편두통이 예상됩니다.,1
뒷머리나 목이 조이는 듯하면서 아파요,긴장성 두통으로 보입니다. ,1
"갑자기 심한 통증과 함께, 눈물과 콧물이나와요",군집성 두통으로 보입니다. ,1
배 전체가 계속 아파요,복막염이나 대장염으로 보입니다. ,1
"배가 계속 아프고, 누르면 아파요","장염, 위염 같아요. ",1
"오른쪽 윗배가 5시간에 걸쳐 아프고, 통증이 심해서 숨 쉬기가 힘들어요.",급성 담낭염으로 보입니다.,1
"생리통인데, 너무 아파 ",생리통에는 ,1
"진통제를 먹어도 칼로 찌르듯이 옆구리가 아프고, 식은땀도 나고, 걸어다닐 수 가 없을 것처럼 아프고, 오줌에 피가 나와요.",요로결석이 의심되네요.,1
"오줌이 빨갛게 보이고, 배가 부푼 것같은 느낌도 있어요. ",요로결석이 의심되네요.,1
소변을 봐도 잔뇨감이 있고 진통제를 먹어도 허리쪽이 엄청 아파요.,요로결석이 의심되네요.,1
배의 위쪽이 엄청 아프다가 어느 순간은 안 아파요,담석증이 의심됩니다. ,1
명치나 오른쪽 위쪽 배가 아프다가 날개뼈 아래나 어깨쪽까지 아파요.,담석증이 의심됩니다.,1
머리 아파 ,단순 편두통이 아닐 수 있어요. ,1
배 아파,배가 아프시군요? ㅠㅠ ,1
쉬싸도 안 싼 것 같아요,잔뇨감이 있으시네요 병원에 가시는 것을 추천드립니다. ,1
일상생활에 지장이 있을 정도로 속이 쓰려요 ,역류성 식도염이 예상됩니다. ,1
"소화가 잘 안되고 속이 쓰리고, 배의 위쪽에 통증이 있어요.","역류성 식도염이거나, 소화성 궤양으로 예측됩니다. ",1
숨이 멎을 것 처럼 아파요,심근경색증으로 보입니다. ,1
가슴이 찢어지듯이 아파요,심근경색증으로 보입니다. ,1
가슴이 벌어지는 것 처럼 아파요,심근경색증으로 보입니다. ,1
배가 전체가 계속 아프고 속이 쓰려요.,과민성 장 증후군으로 보입니다. ,1
"배 전체가 부푼 것 같고, 불편해요.",과민성 장 증후군으로 보입니다. ,1
배가 전부가 계속 아프고 속이 쓰려요.,과민성 장 증후군으로 보입니다. ,1
"배 위쪽을 누가 누르는 것 같고, 메스껍고, 가슴이 답답해요.",표층성 위염이에요. ,1
"배 위쪽이 무겁게 눌리는 느낌이고, 속이 안좋고 답답해요.",표층성 위염이에요. ,1
"배 위쪽이 아프고, 속이 안좋아요.",표층성 위염이에요. ,1
"소화가 잘 안되고, 입맛이 없고, 메스꺼러워요.",위축성 위염이에요. ,1
"소화가 잘 안되고, 입맛이 없고, 설사를 해요.",위축성 위염이에요. ,1
"명치나 오른쪽 위쪽 배가 아프고, 토도 했어요.",담석증이 의심됩니다.,1
"오른쪽 위쪽 배가 아프고, 토도 했고, 1시간동안 계속 아팠어요.",담석증이 의심됩니다. ,1
갑자기 오른쪽 위쪽 배가 아프다가 서서히 안아파졌어요.,담석증이 의심됩니다. ,1
아랫배가 엄청 아프고 구토가 나와요. 분비물이 종종 노란색이나 녹색으로 변해요.,여성의 경우 골반내감염이 의심할 수 있어요. ,1
"열, 구토, 비정상적 질 분비물이 있고, 불규칙한 질 출혈이 있고, 아랫배가 너무 아파요.",여성의 경우 난관염이 예상됩니다. ,1
배,배가 아프시군요? ㅠㅠ ,1
머리,머리가 아프시군요! ㅠㅠ ,1
아파,"많이 아프시겠지만, 증상을 자세히 말해주실 수 있나요?",1
머리가 심하게 아파서 자다가 깬 적있어,뇌와 관련된 심각한 병일 수 있어요.,1
아파서 잠에서 깬적 있어,심각한 상태 같아요. ,1
숨을 못 쉴 것 같이 아파,심근경색증인 것 같아요. ,1
마음이 아파,속상한 일 있으시군요ㅠㅠ ,1
속상해서 못 살겠어,속상한 일 있으시군요ㅠㅠ ,1
안녕,안녕하세요? 어디가 불편하신가요?,1
고마워,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,1
아니야,아닌가요? 죄송해요ㅠㅠ 제가 아직 멍청한가봐요ㅠㅠ,1
감사,'어디아파'를 이용해주셔서 감사합니다! ㅎㅎ ,1
배가 땡겨요,근육통일 수도 있어요. ,1
윗배가 아파서 허리를 펼 수가 없어요. 누우면 더 아파요.,췌장염같네요. ,1
누워있으면 가슴이 화끈거리고 아파요.,역류성 식도염이 예상됩니다. ,1
오른쪽 아랫배가 아파서 허리를 펼 수가 없어요.,"허리를 펴기 어려울 정도로 아프면서 수일간 통증이 지속된다면, 맹장염 같아요. ",1
아랫배가 아파요,생리통이거나 배탈이시네요,1
속상해 …,속상한 일 있으시군요ㅠㅠ 그럴때는 다 잊고 WATCHA 어때요?,1
고마워요,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,1
배가 부른 느낌과 함께 머리가 어지럽고 아프다.,체하신 걸 꺼에요.,1
"설사를 하고, 피가 섞인 변이 나와요.",대장염으로 보여요.,1
"설사와 구토를 하고, 피가 섞인 똥이 나와요.",대장염으로 보여요.,1
"배를 만질 수 없을 정도로 아프고, 눌렀다가 손을 떼었을 때에 엄청 아파요.",복막염입니다.,1
"배의 위쪽이 엄청 아프고 배를 만지면, 딱딱해요.",복막염입니다. ,1
"배를 누르면 아프고, 손발이 차고, 열이 나요",복막염으로 예상됩니다. ,1
마음이 아파,속상한 일 있으시군요ㅠㅠ ,0
속상해서 못 살겠어,속상한 일 있으시군요ㅠㅠ ,0
안녕,안녕하세요? 어디가 불편하신가요?,0
고마워,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,0
아니야,아닌가요? 죄송해요ㅠㅠ 제가 아직 멍청한가봐요ㅠㅠ,0
감사,'어디아파'를 이용해주셔서 감사합니다! ㅎㅎ ,0
배가 땡겨요,근육통일 수도 있어요. ,1
배가 아파서 허리를 펼 수가 없어요. 누우면 더 아파요.,췌장염같네요. ,1
누워있으면 윗배가 아파요,역류성 식도염이 예상됩니다. ,1
오른쪽 아랫배가 아파서 허리를 펼 수가 없어요.,"허리를 펴기 어려울 정도로 아프면서 수일간 통증이 지속된다면, 맹장염 같아요. ",1
아랫배가 아파요,배가 많이 아프시군요 ㅠㅠ,1
속상해 …,속상한 일 있으시군요ㅠㅠ 그럴때는 다 잊고 WATCHA 어때요?,1
고마워요,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,1
쉬 싸도 안 싼 것 같아,잔뇨감이 있으시네요 병원에 가시는 것을 추천드립니다. ,
"입맛이 없고, 메스꺼러워요.",위축성 위염이에요. ,1
"입맛이 없고, 설사를 해요.",위축성 위염이에요. ,1
"명치나 오른쪽 위쪽 배가 아프고, 토도 했어요.",담석증이 의심됩니다.,1
"오른쪽 위쪽 배가 아프고, 토도 나와요",담석증이 의심됩니다. ,1
갑자기 오른쪽 위쪽 배가 아프다가 서서히 안아파졌어요.,담석증이 의심됩니다. ,1
아랫배가 엄청 아프고 구토가 나와요. 분비물이 종종 노란색이나 녹색으로 변해요.,여성의 경우 골반내감염이 의심할 수 있어요. ,1
"열, 구토, 비정상적 질 분비물이 있고, 불규칙한 질 출혈이 있고, 아랫배가 너무 아파요.",여성의 경우 난관염이 예상됩니다. ,1
누워있으면 가슴이 화끈거리고 아파요.,역류성 식도염이 예상됩니다. ,1
오른쪽 아랫배가 아파서 허리를 펼 수가 없어요.,"허리를 펴기 어려울 정도로 아프면서 수일간 통증이 지속된다면, 맹장염 같아요. ",1
아랫배가 아파요,생리통이거나 배탈이시네요,1
슬퍼,속상한 일 있으시군요ㅠㅠ 그럴때는 다 잊고 WATCHA 어때요?,1
고마워요,도움이 되셨다니 다행이에요. 빨리 나으셨으면 좋겠어요.,1
머리가 어지럽고 아퍼,체하신 걸 꺼에요.,1
"설사를 하고, 피가 섞인 변이 나와요.",대장염으로 보여요.,1
"설사와 구토를 하고, 피가 섞인 똥이 나와요.",대장염으로 보여요.,1
배를 눌렀다가 손을 떼었을 때에 엄청 아파요.,복막염입니다.,1
"배의 위쪽이 엄청 아프고 배를 만지면, 딱딱해요.",복막염입니다. ,1
두통이 너무 심해서 자다가 깼어요,뇌와 관련된 심각한 병일 수 있어요.,1
"최근에 약물 복용 또는 카페인/알코올 과용했는데, 머리가 아파요 ","알코올 중독, 카페인 금단 두통, 만성 약물중독에 의한 통증입니다. ",1
머리가 두근거리면서 아파요,단순 편두통이 예상됩니다.,1
뒷머리나 목이 조이는 듯하면서 아파요,긴장성 두통으로 보입니다. ,1
"갑자기 심한 통증과 함께, 눈물과 콧물이나와요",군집성 두통으로 보입니다. ,1
배 전체가 계속 아파요,복막염이나 대장염으로 보입니다. ,1
"배가 계속 아프고, 누르면 아파요","장염, 위염 같아요. ",1
"오른쪽 윗배가 5시간에 걸쳐 아프고, 통증이 심해서 숨 쉬기가 힘들어요.",급성 담낭염으로 보입니다.,1
"생리통인데, 너무 아파 ",생리통에는 ,1
"진통제를 먹어도 칼로 찌르듯이 옆구리가 아프고, 식은땀도 나고, 걸어다닐 수 가 없을 것처럼 아프고, 오줌에 피가 나와요.",요로결석이 의심되네요.,1
